system   D            wsystem.c:585  maybe_parent_dir                 [   0.00131] Also searching C:\Users\Student\Desktop\src\Demo Projects\EscapeTheMaze\
system   D            wsystem.c:635  _al_win_safe_load_library        [   0.00162] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:546  load_library_at_path             [   0.00165] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:549  load_library_at_path             [   0.00685] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:695  _al_d3d_init_display             [   0.01524] Render-to-texture: 1
system   I             system.c:270  al_install_system                [   0.01531] Allegro version: 5.0.9
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.02129] Font arialbd.ttf loaded with pixel size 0 x 30.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.02133]     ascent=27.0, descent=-6.0, height=35.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.02136] added dtor for object 007FA578, func 58ED1B45
dtor     D               dtor.c:184  _al_register_destructor          [   0.02138] added dtor for object 007FA608, func 58ED24D7
d3d      I         d3d_disp.cpp:1736 d3d_create_display_locked        [   0.02216] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.02219] al_display=007FA858
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.02221] al_display->vt=007FA790
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.02277] found 64 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.02280] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02282] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02284] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02286] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02287] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02289] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02291] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02293] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02294] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02296] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02298] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02299] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02301] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02303] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02304] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02306] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02308] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02310] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02311] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02317] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02319] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02320] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02322] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02324] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02325] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02327] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02329] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02330] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02332] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02334] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02335] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02337] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02339] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02341] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02342] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02344] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02346] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02348] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02349] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02351] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02353] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02354] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02356] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02358] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02359] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02361] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02363] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02365] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02366] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02368] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02370] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02372] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02373] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02375] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02376] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02378] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02380] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02381] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02383] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02385] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02386] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02388] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02390] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02391] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02393] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02395] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02396] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02398] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02400] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02401] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02403] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02405] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02406] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02408] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02410] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02411] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02413] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02415] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02416] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02418] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02420] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02421] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02423] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02425] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02426] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02428] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02430] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02431] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02433] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02435] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02436] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02438] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02440] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02442] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02443] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02445] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02448] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02450] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02451] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02453] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02455] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02456] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02458] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02460] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02461] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02463] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02465] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02466] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02468] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02470] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02471] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02473] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02474] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02478] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02480] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02482] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02483] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02485] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02487] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02489] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02490] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02492] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02493] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02495] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02497] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02499] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02500] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02502] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1644 d3d_create_display_internals     [   0.02504] Trying format 0.
d3d      I         d3d_disp.cpp:1325 d3d_display_thread_proc          [   0.02620] Chose a display format: 23
d3d      I         d3d_disp.cpp:1394 d3d_display_thread_proc          [   0.02624] Normal window.
d3d      I         d3d_disp.cpp:800  d3d_create_device                [   0.04603] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:865  d3d_create_device                [   0.08032] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:873  d3d_create_device                [   0.08037] Success
d3d      D         d3d_disp.cpp:1667 d3d_create_display_internals     [   0.08040] Resumed after wait.
d3d      I         d3d_disp.cpp:1700 d3d_create_display_internals     [   0.08044] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1723 d3d_create_display_internals     [   0.08048] Returning d3d_display: 007FA858
d3d      D         d3d_disp.cpp:1748 d3d_create_display_locked        [   0.08050] al_display=007FA858
